rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
590,57022,1.0,1.0,0.5111775102524677,True,17.15,0.6,1014.5
591,40624,1.0,1.0,0.9988792315328162,True,19.96666667,0.44,1014.79
592,93883,1.0,1.0,0.41651511136163527,True,16.93888889,0.64,1014.96
593,93881,1.0,1.0,0.4360446989663866,True,17.75555556,0.65,1015.0
594,75444,1.0,1.0,1.0,True,17.81666667,0.4,1015.49
595,22202,1.0,1.0,0.4740518070761788,True,18.18888889,0.64,1014.61
596,85690,1.0,1.0,0.8204854064254279,True,17.22222222,0.48,1016.28
597,85689,1.0,1.0,0.8793292135741102,True,17.41111111,0.46,1016.52
598,75445,1.0,1.0,0.9892227240976579,True,17.41666667,0.42,1015.4
599,34485,1.0,1.0,0.45344179731014533,True,18.88888889,0.68,1013.4
600,75446,1.0,1.0,0.7961250159828609,True,16.1,0.48,1015.29
601,59061,1.0,1.0,0.4240589789097211,True,18.33333333,0.68,1015.8
602,40627,1.0,1.0,0.725561858103767,True,15.34444444,0.5,1013.46
603,83635,1.0,1.0,0.3424258078406887,True,15.67222222,0.65,1014.84
604,40626,1.0,1.0,0.8223670756214769,True,17.33333333,0.48,1014.14
605,75440,1.0,1.0,1.0,True,17.21666667,0.38,1016.16
606,93803,1.0,1.0,0.41074446963823064,True,17.57777778,0.66,1014.94
607,93802,1.0,1.0,0.3700761878194908,True,16.73888889,0.66,1015.42
608,44648,1.0,1.0,0.5412148824180477,True,19.52222222,0.64,1015.87
609,32295,1.0,1.0,0.8739164599373784,True,20.0,0.49,1013.8
610,93752,1.0,1.0,0.7990832520277931,True,16.22222222,0.48,1016.8
611,44595,1.0,1.0,0.3469053437525561,True,16.59444444,0.67,1016.36
612,58931,1.0,1.0,0.9747917777091993,True,20.0,0.45,1016.57
613,48693,1.0,1.0,0.46624164125278394,True,18.88333333,0.67,1016.24
614,58930,1.0,1.0,0.7910623340922108,True,18.95,0.51,1016.99
